Date,play
20150301,58
20150302,99
20150303,125
20150304,273
20150305,172
20150306,313
20150307,99
20150308,132
20150309,100
20150310,94
20150311,74
20150312,120
20150313,64
20150314,88
20150315,116
20150316,83
20150317,96
20150318,94
20150319,130
20150320,196
20150321,116
20150322,120
20150323,243
20150324,81
20150325,177
20150326,63
20150327,100
20150328,113
20150329,94
20150330,84
20150331,72
20150401,85
20150402,71
20150403,87
20150404,80
20150405,97
20150406,150
20150407,109
20150408,71
20150409,85
20150410,84
20150411,66
20150412,75
20150413,69
20150414,194
20150415,168
20150416,57
20150417,89
20150418,136
20150419,49
20150420,76
20150421,104
20150422,166
20150423,258
20150424,176
20150425,117
20150426,111
20150427,229
20150428,87
20150429,193
20150430,76
20150501,65
20150502,59
20150503,60
20150504,136
20150505,52
20150506,63
20150507,61
20150508,66
20150509,65
20150510,57
20150511,61
20150512,75
20150513,84
20150514,77
20150515,73
20150516,60
20150517,78
20150518,58
20150519,56
20150520,57
20150521,66
20150522,61
20150523,77
20150524,76
20150525,129
20150526,93
20150527,93
20150528,222
20150529,108
20150530,184
20150531,61
20150601,110
20150602,115
20150603,115
20150604,95
20150605,92
20150606,109
20150607,148
20150608,128
20150609,70
20150610,86
20150611,54
20150612,79
20150613,121
20150614,154
20150615,131
20150616,89
20150617,90
20150618,176
20150619,154
20150620,107
20150621,81
20150622,157
20150623,119
20150624,95
20150625,139
20150626,175
20150627,117
20150628,107
20150629,126
20150630,277
20150701,100
20150702,120
20150703,113
20150704,79
20150705,115
20150706,77
20150707,89
20150708,143
20150709,150
20150710,73
20150711,85
20150712,82
20150713,90
20150714,88
20150715,69
20150716,112
20150717,84
20150718,94
20150719,87
20150720,91
20150721,80
20150722,66
20150723,158
20150724,40
20150725,59
20150726,175
20150727,99
20150728,113
20150729,113
20150730,57
20150731,67
